CustomerId,Profit,Recency,Frequency,Monetary,Variance,labels,Type
535,997,6,15,54749.65,48,0,Regular customer
536,240,47,4,3199.9,5,1,Inactive customer
537,110,66,2,2644.88,5,1,Inactive customer
538,484,4,10,15494.56,19,3,New customer
539,335,10,8,2635.55,6,3,New customer
540,520,7,18,12967.55,25,0,Regular customer
541,210,4,1,6576.8,2,3,New customer
542,588,12,6,8729.42,5,3,New customer
543,618,5,18,8798.27,13,3,New customer
544,404,2,16,7054.33,12,3,New customer
545,747,6,3,22024.01,9,3,New customer
546,1049,1,3,110299.82,18,3,New customer
547,12,5,1,264.2,2,3,New customer
548,371,5,1,57359.56,47,0,Regular customer
549,36,47,1,617.98,2,1,Inactive customer
550,92,3,11,1157.63,6,3,New customer
551,262,19,13,6926.8,15,3,New customer
552,571,3,11,26524.78,17,3,New customer
553,373,4,11,10900.52,13,3,New customer
554,80,7,6,2849.74,10,3,New customer
555,1068,4,11,11399.2,9,3,New customer
556,60,5,7,1128.76,7,3,New customer
557,8,52,1,58.58,1,1,Inactive customer
558,28,7,11,483.04,5,3,New customer
559,12,4,1,99.98,1,3,New customer
560,188,5,20,2713.91,9,3,New customer
561,140,13,4,5017.42,12,3,New customer
562,30,55,1,119.23,1,1,Inactive customer
563,320,54,2,8055.23,3,1,Inactive customer
564,92,5,11,1935.21,5,3,New customer
565,110,7,9,2622.74,10,3,New customer
566,120,42,1,436.74,1,1,Inactive customer
567,694,5,19,28333.53,25,0,Regular customer
568,994,6,9,65287.82,36,0,Regular customer
569,23,80,2,145.87,2,1,Inactive customer
570,22,46,4,476.8,3,1,Inactive customer
571,372,19,9,10103.49,13,3,New customer
572,21,19,2,119.98,2,3,New customer
573,28,25,2,355.99,2,3,New customer
574,852,5,15,39359.08,38,0,Regular customer
575,895,4,15,126093.42,49,0,Regular customer
576,185,6,14,3414.97,8,3,New customer
577,72,9,2,3528.72,7,3,New customer
578,725,3,15,32153.13,36,0,Regular customer
579,180,5,5,25266.34,25,3,New customer
580,965,5,18,34462.52,38,0,Regular customer
581,2,21,2,15.78,1,3,New customer
582,385,32,7,19272.65,12,1,Inactive customer
583,91,7,9,2187.29,12,3,New customer
584,8,28,1,362.24,2,1,Inactive customer
585,2580,4,4,54926.53,4,3,New customer
586,898,11,5,28946.64,11,3,New customer
587,26,3,2,212.14,2,3,New customer
588,64,39,4,648.89,2,1,Inactive customer
589,401,18,6,8114.24,12,3,New customer
590,194,2,5,12489.9,13,3,New customer
591,148,12,14,1836.72,10,3,New customer
592,107,6,8,4001.15,7,3,New customer
593,42424,2,69,4913887.25,105,2,Profitable customer
594,612,7,11,44265.86,36,0,Regular customer
595,1176,33,13,21438.76,31,0,Regular customer
596,46,18,8,723.82,9,3,New customer
597,641,5,23,21728.42,19,0,Regular customer
598,182,20,10,3786.27,15,3,New customer
599,693,5,16,25026.56,30,0,Regular customer
600,533,2,21,9173.21,11,3,New customer
601,422,4,11,17958.07,34,0,Regular customer
602,13,6,2,54.55,2,3,New customer
603,266,5,15,14625.99,20,3,New customer
604,15,70,1,8.22,1,1,Inactive customer
605,12,56,1,113.22,1,1,Inactive customer
606,226,42,2,29800.0,23,1,Inactive customer
607,308,9,21,12031.19,20,0,Regular customer
608,300,4,2,6999.14,3,3,New customer
609,851,2,13,36543.55,22,3,New customer
610,23,28,3,214.02,3,1,Inactive customer
611,82,13,7,1308.4,5,3,New customer
612,334,27,10,3516.8,8,3,New customer
613,348,3,10,22681.99,17,3,New customer
614,802,4,14,42685.6,25,3,New customer
615,6,3,1,59.04,1,3,New customer
616,59,33,3,1253.43,4,1,Inactive customer
617,153,21,8,2219.76,9,3,New customer
618,154,6,4,1821.44,5,3,New customer
619,16,6,4,476.17,2,3,New customer
